true,pred
13.304087,13.27398
7.60185,7.1222963
12.829417,12.855611
8.502045,7.728182
13.554646,13.581838
10.189123,9.688738
10.333798,10.116457
11.927364,11.970763
11.5597315,11.338758
13.574399,13.5302
12.075793,12.030646
11.778406,11.56355
10.123884,9.884763
9.4670105,8.670746
10.612406,10.222977
11.374627,11.317695
10.739323,10.328007
9.686283,8.890648
10.687121,10.475977
12.400536,12.449767
9.021627,9.410426
12.127751,12.105961
12.999805,13.006037
11.749161,11.679148
12.641932,12.588683
10.22936,9.780255
9.405281,8.83295
8.793578,9.145519
12.345663,12.195691
13.561837,13.70546
10.17081,9.858184
10.439315,10.170248
11.681618,11.674183
11.249481,11.297532
12.795719,12.856236
10.199143,9.999358
9.787756,10.085083
12.895085,13.075601
8.973935,9.556134
10.85357,10.601534
11.497241,11.339242
11.489266,11.384704
12.519499,12.715565
10.147403,9.719239
12.364314,12.311182
13.906326,13.8921
13.525093,13.500439
10.444967,10.112711
10.409885,10.126722
10.416083,10.007805
12.961779,12.846662
13.618775,13.628559
10.950425,10.732854
9.793007,9.285547
13.447065,13.390562
10.627454,10.308226
10.112331,9.690502
10.942339,10.477079
10.276607,10.2706375
9.606764,8.904713
13.447828,13.390431
11.519234,11.490635
12.913491,12.929548
9.640264,9.300658
12.483136,12.438069
9.8552265,9.15676
10.367783,10.166836
11.738841,11.748154
9.61253,9.366321
12.04343,11.935731
12.385719,12.36428
11.547244,11.11724
12.7582855,12.593689
8.775506,8.963211
7.1419525,7.751801
11.563288,11.356756
10.040306,9.471462
13.40328,13.392541
8.308244,8.4204855
8.994859,9.047096
11.529061,11.24908
13.487715,13.6926985
9.150626,9.233232
10.290511,9.721658
8.811154,9.437356
11.397471,11.342931
9.784653,10.139786
12.271115,12.323677
12.699994,12.779256
13.473812,13.31721
10.439624,9.96747
12.814156,13.015588
12.449612,12.438919
10.43232,10.012666
11.157927,11.155301
12.53214,12.728753
11.600263,11.349227
9.663313,10.188741
12.474458,12.631363
12.031595,12.181497
12.516989,12.534797
9.51531,9.942475
9.868674,9.421975
12.839066,12.828208
11.723236,11.711027
13.03928,13.270986
13.446753,13.561177
9.4702215,8.795095
9.516252,9.845068
11.394921,11.04575
10.722996,10.351606
8.8205595,8.519215
13.578188,13.478442
8.86443,9.279535
8.902421,9.262407
12.48746,12.413957
11.932421,12.234963
11.451204,11.412403
11.708518,11.686456
12.7372675,12.743996
12.695026,12.526094
13.851072,13.878078
12.280686,12.15967
12.406271,12.398472
7.1601505,7.66098
9.57939,9.706611
11.458888,11.162681
13.657026,13.514788
10.898894,10.66353
13.916444,13.880723
10.019068,9.539567
12.857648,12.934992
12.907955,12.875476
11.06552,10.97137
12.264763,12.232813
13.281693,13.259713
9.480677,9.814225
9.123737,8.627119
9.5020895,9.025137
9.525055,9.551166
12.57457,12.734007
11.933575,11.916233
8.778997,9.3728485
12.639238,12.705751
11.561171,11.253549
11.831201,11.973249
9.454023,10.023564
13.713858,13.526591
10.486354,9.8340225
9.561225,9.88269
13.323825,13.249923
12.168672,12.663575
14.030607,13.69459
11.741039,11.691864
11.514534,10.988888
12.7700405,12.899901
12.235819,12.164013
11.486761,11.13236
11.070383,10.70026
10.083985,9.61565
11.570521,11.570612
11.635089,11.642775
13.171226,12.939718
10.594551,10.324554
9.183497,9.546462
13.495885,13.432316
9.978722,9.764235
13.373505,13.430375
12.171172,12.06954
10.3861,10.064205
10.053282,9.730492
13.61019,13.657243
11.626984,11.524806
8.250364,8.633294
10.351308,10.214933
7.3479314,7.0022163
12.338801,12.2452
10.433054,9.812928
